City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ahipara,-35.1667,173.1667,67.75,55,0,12.28,NZ,1680573269
1,olafsvik,64.8945,-23.7142,43.14,97,100,20.04,IS,1680573132
2,kodiak,57.79,-152.4072,35.11,93,100,11.5,US,1680573169
3,juneau,58.3019,-134.4197,42.8,72,40,6.91,US,1680573224
4,ossora,59.2353,163.0719,23.38,74,73,7.2,RU,1680573270
5,albany,42.6001,-73.9662,54.18,62,100,4.99,US,1680572978
6,castro,-24.7911,-50.0119,59.05,87,1,3.49,BR,1680573272
7,butaritari,3.0707,172.7902,81.84,81,80,18.14,KI,1680573272
8,talnakh,69.4865,88.3972,-12.8,96,100,7.54,RU,1680573214
9,punta arenas,-53.15,-70.9167,44.71,70,20,8.05,CL,1680573138
10,soure,-0.7167,-48.5233,75.81,90,99,7.02,BR,1680573272
11,faanui,-16.4833,-151.75,82.62,72,99,8.28,PF,1680573273
12,puerto ayora,-0.7393,-90.3518,80.55,92,19,4.0,EC,1680573148
13,sur,22.5667,59.5289,73.13,59,62,3.15,OM,1680573122
14,vila franca do campo,37.7167,-25.4333,55.81,78,66,5.21,PT,1680573134
15,polovinnoye,54.7914,65.9864,34.45,76,5,5.32,RU,1680573273
16,busselton,-33.65,115.3333,68.31,53,38,9.84,AU,1680573119
17,brae,60.3964,-1.353,42.1,86,62,17.45,GB,1680573137
18,jamestown,42.097,-79.2353,49.64,61,100,6.91,US,1680573065
19,rikitea,-23.1203,-134.9692,79.68,83,98,14.65,PF,1680573275
20,damara,4.9608,18.7035,74.14,78,100,5.59,CF,1680573275
21,tuktoyaktuk,69.4541,-133.0374,-2.2,78,20,5.75,CA,1680573132
22,mataura,-46.1927,168.8643,58.48,50,49,4.45,NZ,1680573122
23,mahebourg,-20.4081,57.7,75.49,94,75,6.91,MU,1680573168
24,san angelo,31.4638,-100.437,84.42,14,0,9.22,US,1680573276
25,nome,64.5011,-165.4064,15.17,79,100,6.91,US,1680573174
26,carutapera,-1.195,-46.02,73.92,94,100,3.04,BR,1680573276
27,labuan,5.2767,115.2417,73.76,100,40,0.0,MY,1680573276
28,kapit,2.0167,112.9333,79.95,78,84,1.48,MY,1680573276
29,chuy,-33.6971,-53.4616,62.76,84,100,3.47,UY,1680573162
30,kapaa,22.0752,-159.319,78.78,86,75,13.8,US,1680572979
31,ushuaia,-54.8,-68.3,44.26,87,75,11.5,AR,1680572854
32,tessalit,20.1986,1.0114,75.67,7,0,4.14,ML,1680573126
33,lebu,-37.6167,-73.65,54.75,76,1,16.73,CL,1680573136
34,hualmay,-11.0964,-77.6139,76.96,80,93,9.64,PE,1680573130
35,tahta,26.7693,31.5021,67.66,12,91,1.05,EG,1680573277
36,adrian,41.8975,-84.0372,53.15,83,100,10.36,US,1680572963
37,oranjestad,12.524,-70.027,80.55,83,20,23.02,AW,1680573278
38,bengkulu,-3.8004,102.2655,79.5,80,83,2.37,ID,1680573173
39,laguna,38.421,-121.4238,59.09,30,0,13.8,US,1680573180
40,new norfolk,-42.7826,147.0587,67.71,52,24,5.99,AU,1680573278
41,karratha,-20.7377,116.8463,86.63,56,47,3.94,AU,1680573221
42,cidreira,-30.1811,-50.2056,71.92,79,18,13.71,BR,1680573131
43,esperance,-33.8667,121.9,68.09,73,100,10.67,AU,1680573170
44,touros,-5.1989,-35.4608,78.28,80,59,7.18,BR,1680573123
45,hilo,19.7297,-155.09,79.25,74,100,10.36,US,1680573126
46,mastic beach,40.7668,-72.8521,50.13,86,0,17.0,US,1680573279
47,barrow,71.2906,-156.7887,3.22,78,100,13.8,US,1680573141
48,hasaki,35.7333,140.8333,59.4,52,0,10.8,JP,1680572872
49,kamenka,51.3223,42.7678,45.77,92,69,7.43,RU,1680573280
50,provideniya,64.3833,-173.3,8.71,66,75,20.13,RU,1680573161
51,zyryanka,65.75,150.85,14.41,74,13,15.43,RU,1680573189
52,dingle,10.9995,122.6711,86.86,57,48,10.18,PH,1680573129
53,yellowknife,62.456,-114.3525,16.32,73,75,3.44,CA,1680573122
54,ribeira grande,38.5167,-28.7,55.78,81,100,5.01,PT,1680573128
55,labuhan,-6.8844,112.2051,81.68,74,100,5.06,ID,1680573281
56,sao jose do campestre,-6.3156,-35.7139,72.73,95,35,3.94,BR,1680573281
57,seoul,37.5683,126.9778,65.8,15,0,9.22,KR,1680572610
58,okha,53.5739,142.9478,29.46,94,100,19.71,RU,1680573281
59,wote,-1.7808,37.6288,66.49,91,100,1.28,KE,1680573281
60,qaanaaq,77.484,-69.3632,-10.46,62,0,6.73,GL,1680573282
61,kavieng,-2.5744,150.7967,83.23,72,17,3.02,PG,1680573200
62,bluff,-46.6,168.3333,58.8,71,75,12.1,NZ,1680573153
63,stromness,58.965,-3.296,39.16,77,100,5.35,GB,1680573282
64,marawi,7.9986,124.2928,78.21,56,76,4.83,PH,1680573173
65,shache,38.4167,77.2406,48.13,18,100,16.13,CN,1680573213
66,la tuque,47.4334,-72.7824,32.25,93,99,2.3,CA,1680573282
67,taoudenni,22.6783,-3.9836,80.55,7,0,5.12,ML,1680573192
68,tiksi,71.6872,128.8694,18.52,85,100,5.23,RU,1680573131
69,port hedland,-20.3167,118.5667,89.65,62,45,4.61,AU,1680573283
70,kosh-agach,50.0,88.6667,5.11,59,6,2.17,RU,1680573283
71,kununurra,-15.7667,128.7333,87.78,70,40,6.91,AU,1680573283
72,tazovskiy,67.4667,78.7,6.75,92,100,24.65,RU,1680573216
73,tasiilaq,65.6145,-37.6368,24.96,90,100,0.16,GL,1680573284
74,bredasdorp,-34.5322,20.0403,59.09,85,100,2.08,ZA,1680573136
75,carnarvon,-24.8667,113.6333,76.3,69,55,12.39,AU,1680573196
76,atasu,48.6814,71.6433,35.87,40,8,12.41,KZ,1680573284
77,vaini,-21.2,-175.2,84.36,70,20,8.05,TO,1680573131
78,hermanus,-34.4187,19.2345,53.8,81,100,4.36,ZA,1680573119
79,lata,40.1629,-8.3327,57.81,94,100,3.2,PT,1680573210
80,coquimbo,-29.9533,-71.3436,60.53,100,0,6.91,CL,1680572864
81,fort-shevchenko,44.5086,50.263,47.1,78,100,3.29,KZ,1680573285
82,codrington,-38.2667,141.9667,65.79,57,100,6.04,AU,1680573125
83,constitucion,-35.3333,-72.4167,57.38,68,3,11.7,CL,1680573221
84,kaeo,-35.1,173.7833,74.32,55,1,2.42,NZ,1680573285
85,axim,4.8699,-2.2405,79.39,86,97,6.42,GH,1680573285
86,calabozo,8.9242,-67.4293,86.88,44,28,10.78,VE,1680573286
87,kharp,66.8014,65.8081,6.01,90,74,8.7,RU,1680573158
88,santa cruz,-17.8,-63.1667,76.46,88,40,5.75,BO,1680573143
89,yushan,31.3776,120.9543,64.29,85,100,22.17,CN,1680573286
90,tignere,7.3667,12.65,70.7,35,98,0.49,CM,1680573286
91,cape town,-33.9258,18.4232,60.12,86,0,1.14,ZA,1680572826
92,lloydminster,53.2835,-110.0016,23.22,74,100,9.22,CA,1680573140
93,santander,43.4647,-3.8044,51.46,84,100,2.3,ES,1680573287
94,grand gaube,-20.0064,57.6608,75.6,81,90,1.99,MU,1680573145
95,saint-philippe,-21.3585,55.7679,74.79,79,97,5.99,RE,1680573123
96,necochea,-38.5473,-58.7368,60.93,83,57,7.81,AR,1680573160
97,salalah,17.0151,54.0924,84.29,21,20,9.22,OM,1680573143
98,kaitangata,-46.2817,169.8464,63.93,56,41,6.38,NZ,1680573120
99,yerofey pavlovich,53.9667,121.9667,25.41,59,13,12.33,RU,1680573288
100,gizo,-8.103,156.8419,84.72,70,100,2.35,SB,1680573288
101,beringovskiy,63.05,179.3167,8.55,90,100,13.42,RU,1680573171
102,bilma,18.6853,12.9164,75.42,8,94,6.2,NE,1680573288
103,lerwick,60.1545,-1.1494,44.6,85,61,19.86,GB,1680573288
104,gibara,21.1097,-76.1317,78.12,82,36,12.91,CU,1680573289
105,san fernando,15.0286,120.6898,85.73,51,66,9.62,PH,1680573289
106,thunder bay,48.4001,-89.3168,26.51,63,100,6.91,CA,1680573190
107,pevek,69.7008,170.3133,-4.02,80,100,8.97,RU,1680573156
108,kruisfontein,-34.0033,24.7314,61.88,84,75,8.99,ZA,1680573160
109,parrita,9.5201,-84.3225,81.21,74,40,1.36,CR,1680573289
110,richards bay,-28.783,32.0377,72.43,75,100,14.92,ZA,1680573290
111,aswan,24.0934,32.907,69.1,14,0,5.75,EG,1680573290
112,avarua,-21.2078,-159.775,80.65,61,64,13.8,CK,1680573141
113,bambous virieux,-20.3428,57.7575,75.45,94,75,6.91,MU,1680573132
114,cherskiy,68.75,161.3,6.76,72,99,16.51,RU,1680573125
115,micomeseng,2.1462,10.6164,69.26,100,100,1.25,GQ,1680573290
116,mzimba,-11.9,33.6,61.09,97,66,4.5,MW,1680573291
117,atambua,-9.1061,124.8925,81.93,65,92,1.23,ID,1680573291
118,vila velha,-20.3297,-40.2925,76.95,78,75,5.75,BR,1680573161
119,deputatskiy,69.3,139.9,11.53,91,69,3.65,RU,1680573291
120,sitka,57.0531,-135.33,44.49,57,0,5.75,US,1680573182
121,luganville,-15.5333,167.1667,86.83,64,15,10.67,VU,1680573292
122,abnub,27.2696,31.1511,64.62,11,100,3.51,EG,1680573292
123,oktyabrskiy,54.4815,53.471,38.23,77,12,3.56,RU,1680573292
124,port blair,11.6667,92.75,82.44,74,40,2.3,IN,1680573170
125,saskylakh,71.9167,114.0833,-7.46,95,98,13.42,RU,1680573177
126,aqtobe,50.2797,57.2072,32.09,74,0,2.24,KZ,1680573292
127,mehndawal,26.9753,83.1117,77.63,37,9,4.99,IN,1680573292
128,nanortalik,60.1432,-45.2371,30.72,86,96,1.43,GL,1680573132
129,port elizabeth,-33.918,25.5701,64.09,83,67,5.01,ZA,1680573293
130,roma,43.2128,-75.4557,50.14,74,100,6.91,US,1680573293
131,markova,48.6758,24.4138,28.58,96,100,4.29,UA,1680573293
132,khatanga,71.9667,102.5,-21.42,93,100,12.26,RU,1680573156
133,rosario do sul,-30.2583,-54.9142,65.16,60,18,7.81,BR,1680573294
134,meulaboh,4.1363,96.1285,80.29,76,90,2.28,ID,1680573142
135,clyde river,70.4692,-68.5914,-10.97,77,0,8.05,CA,1680573136
136,andenes,69.3143,16.1194,37.38,75,75,18.41,NO,1680573294
137,flin flon,54.7682,-101.865,5.61,96,94,3.51,CA,1680573294
138,bogovarovo,58.9785,47.0246,40.15,94,100,9.13,RU,1680573294
139,multan,30.1956,71.4753,60.69,88,20,0.0,PK,1680573294
140,praya,14.9215,-23.5087,73.94,78,23,9.22,CV,1680573295
141,la ronge,55.1001,-105.2842,21.45,42,20,5.75,CA,1680573295
142,airai,-8.9266,125.4092,72.57,58,85,2.24,TL,1680573215
143,aracati,-4.5617,-37.7697,79.03,80,100,5.77,BR,1680573295
144,katsuura,35.1333,140.3,58.89,51,0,10.87,JP,1680573160
145,atuona,-9.8,-139.0333,81.14,76,61,13.06,PF,1680573141
146,antofagasta,-23.65,-70.4,69.08,85,42,3.67,CL,1680573296
147,victoria,22.2855,114.1577,79.43,93,33,1.99,HK,1680573039
148,hobart,-42.8794,147.3294,68.05,53,20,14.97,AU,1680573140
149,murwara,23.85,80.4,81.48,27,7,4.88,IN,1680573296
150,karpogory,64.0019,44.4451,14.04,94,98,5.37,RU,1680573296
151,taihe,30.8712,105.3845,58.33,61,100,4.5,CN,1680573297
152,kuito,-12.3833,16.9333,57.34,96,69,2.8,AO,1680573297
153,pisco,-13.7,-76.2167,73.45,94,0,11.5,PE,1680573130
154,trinidad,-14.8333,-64.9,73.33,94,24,3.11,BO,1680573297
155,banda,25.4833,80.3333,82.2,27,47,3.53,IN,1680573297
156,chumikan,54.7183,135.315,29.34,55,4,20.07,RU,1680573297
157,san patricio,28.017,-97.5169,79.54,79,100,17.16,US,1680573172
158,dakar,14.6937,-17.4441,75.33,94,40,0.0,SN,1680573298
159,kisac,45.3503,19.7286,33.24,65,100,17.27,RS,1680573299
160,east london,-33.0153,27.9116,66.45,69,88,18.32,ZA,1680573128
161,cap malheureux,-19.9842,57.6142,75.47,82,89,1.99,MU,1680573299
162,mount pleasant,32.7941,-79.8626,68.25,93,100,3.44,US,1680573276
163,san quintin,30.4833,-115.95,54.46,63,2,25.46,MX,1680573171
164,guerrero negro,27.9769,-114.0611,57.07,71,3,23.85,MX,1680573144
165,cabo san lucas,22.8909,-109.9124,82.62,56,100,11.5,MX,1680573017
166,tarko-sale,64.9225,77.785,-6.23,86,14,11.43,RU,1680572959
167,mar del plata,-38.0023,-57.5575,60.94,87,31,0.0,AR,1680573138
168,kariba,-16.5167,28.8,66.83,85,22,4.56,ZW,1680573300
169,port alfred,-33.5906,26.891,66.42,76,99,15.43,ZA,1680573132
170,tarakan,3.3,117.6333,83.7,74,40,6.91,ID,1680573301
171,port lincoln,-34.7333,135.8667,73.76,40,11,5.06,AU,1680573187
172,daru,-9.0763,143.2092,82.92,76,100,3.02,PG,1680573217
173,sechura,-5.5569,-80.8222,81.0,77,100,8.14,PE,1680573301
174,kingston,17.997,-76.7936,81.55,71,20,14.97,JM,1680573094
175,lixourion,38.2019,20.4314,53.04,83,89,7.9,GR,1680573302
176,portland,45.5234,-122.6762,48.24,79,75,9.22,US,1680573106
177,price,39.5994,-110.8107,40.26,38,75,20.71,US,1680573193
178,karoi,-16.8099,29.6925,59.67,98,48,4.63,ZW,1680573304
179,ayan,56.45,138.1667,24.98,85,100,2.48,RU,1680573304
180,gimli,50.6336,-96.9907,21.22,49,100,9.22,CA,1680573305
181,naron,43.5167,-8.1528,53.04,85,83,11.21,ES,1680573306
182,bethel,41.3712,-73.414,49.5,75,13,7.18,US,1680572914
183,norman wells,65.282,-126.8329,30.24,59,40,5.75,CA,1680573160
184,poronaysk,49.2167,143.1167,41.7,76,100,5.77,RU,1680573306
185,rosita,13.9268,-84.4032,74.77,73,3,4.05,NI,1680573306
186,atbasar,51.8,68.3333,29.26,77,60,7.07,KZ,1680573212
187,egvekinot,66.3167,-179.1667,-2.24,76,15,3.22,RU,1680573307
188,ponta do sol,32.6667,-17.1,63.23,60,14,12.12,PT,1680573201
189,serrinha,-11.6642,-39.0075,71.22,90,100,7.47,BR,1680573307
190,leningradskiy,69.3833,178.4167,-6.18,87,6,4.09,RU,1680573135
191,lagoa,39.05,-27.9833,58.26,69,100,10.11,PT,1680573175
192,narok,-1.0783,35.8601,56.01,91,100,2.42,KE,1680573307
193,narsaq,60.9167,-46.05,43.02,76,97,5.88,GL,1680573172
194,bahia blanca,-38.7196,-62.2724,61.83,90,0,1.01,AR,1680573308
195,lorengau,-2.0226,147.2712,85.69,64,20,5.17,PG,1680573174
196,zwedru,6.0667,-8.1281,73.09,95,100,1.54,LR,1680573308
197,salamiyah,35.0113,37.0532,57.58,52,18,6.76,SY,1680573308
198,auki,-8.7676,160.7034,87.4,62,99,1.14,SB,1680573309
199,mbini,1.574,9.6134,77.5,86,98,3.27,GQ,1680573309
200,verdun,49.25,5.3333,35.82,74,0,11.16,FR,1680573175
201,coolum beach,-26.5333,153.1,83.34,68,49,9.8,AU,1680573097
202,mount isa,-20.7333,139.5,87.57,19,86,8.05,AU,1680573220
203,arraial do cabo,-22.9661,-42.0278,71.56,83,75,2.3,BR,1680573137
204,upernavik,72.7868,-56.1549,-21.08,99,37,4.34,GL,1680573181
205,payakumbuh,-0.2202,100.6308,79.18,70,49,2.04,ID,1680573310
206,tamsalu,59.1586,26.1153,27.16,84,100,7.76,EE,1680573310
207,kholodnyy,62.7167,147.95,7.43,76,92,3.6,RU,1680573310
208,bessonovka,53.3097,45.0407,45.99,1,100,3.94,RU,1680573311
209,havelock,34.8791,-76.9013,64.99,89,100,8.05,US,1680573161
210,kiama,-34.6833,150.8667,78.39,60,48,4.41,AU,1680573294
211,rio grande,-32.035,-52.0986,66.31,76,100,7.07,BR,1680573187
212,mumford,5.2618,-0.759,79.81,78,99,0.47,GH,1680573311
213,carballo,43.213,-8.691,51.91,89,100,4.81,ES,1680573146
214,riyadh,24.6877,46.7219,57.34,22,89,1.43,SA,1680573164
215,bandar,2.05,99.75,82.36,68,70,0.25,ID,1680573312
216,kahului,20.8947,-156.47,80.62,70,40,14.97,US,1680572932
217,hami,42.8,93.45,32.49,77,100,5.59,CN,1680573312
218,kailua,21.4022,-157.7394,84.18,72,40,10.36,US,1680573312
219,itirucu,-13.5317,-40.1503,65.53,95,97,7.29,BR,1680573312
220,kudahuvadhoo,2.6708,72.8944,81.66,68,3,2.1,MV,1680573313
221,ambilobe,-13.2,49.05,71.78,96,11,3.22,MG,1680573313
222,trat,12.5,102.5,86.31,59,23,5.82,TH,1680573313
223,caravelas,-17.7125,-39.2481,77.0,73,100,8.3,BR,1680573313
224,alofi,-19.0595,-169.9187,82.29,78,38,16.11,NU,1680573119
225,erzin,36.9559,36.2,58.91,63,100,8.68,TR,1680573313
226,saint-joseph,-21.3667,55.6167,73.78,79,98,2.93,RE,1680573212
227,tayoltita,24.0833,-105.9333,67.15,41,100,2.53,MX,1680573314
228,saint george,37.1041,-113.5841,40.42,71,100,17.27,US,1680572921
229,jiazi,22.8779,116.067,73.38,82,100,11.1,CN,1680573314
230,kupang,-10.1667,123.5833,88.38,74,20,5.75,ID,1680573314
231,pombia,45.653,8.6336,46.47,62,0,6.91,IT,1680573314
232,along,28.1667,94.7667,58.87,94,100,0.47,IN,1680573315
233,nikolskoye,59.7035,30.7861,28.8,97,100,6.58,RU,1680573155
234,tombouctou,20.0,-3.0,73.67,8,0,1.57,ML,1680573316
235,popondetta,-8.7537,148.2534,83.12,70,90,3.04,PG,1680573316
236,develi,38.3906,35.4922,40.35,56,100,6.82,TR,1680573316
237,te anau,-45.4167,167.7167,64.76,48,25,2.3,NZ,1680573205
238,longyearbyen,78.2186,15.6401,4.84,66,20,13.8,SJ,1680573166
239,anadyr,64.75,177.4833,-7.1,77,20,6.71,RU,1680573317
240,pangkalanbuun,-2.6833,111.6167,84.24,66,100,3.27,ID,1680573317
241,zhigansk,66.7697,123.3711,16.86,92,100,4.38,RU,1680573204
242,port-cartier,50.0334,-66.8654,27.75,97,100,5.99,CA,1680573317
243,severo-kurilsk,50.6789,156.125,33.98,82,60,11.34,RU,1680573142
244,madang,-5.2246,145.7966,86.32,61,42,3.51,PG,1680573318
245,cortez,37.3489,-108.5859,56.16,17,100,28.77,US,1680573318
246,weligama,5.9667,80.4167,78.1,84,85,0.83,LK,1680573318
247,sesheke,-17.4759,24.2968,64.27,82,68,4.61,ZM,1680573319
248,alveringem,50.9793,2.6775,37.99,74,20,5.75,BE,1680573319
249,aiquile,-18.2041,-65.1807,59.29,85,100,2.26,BO,1680573319
250,srednekolymsk,67.45,153.6833,15.33,66,10,5.66,RU,1680573151
251,onega,63.9061,38.1404,20.46,95,100,4.41,RU,1680573319
252,acapulco,16.8634,-99.8901,82.22,69,40,8.05,MX,1680573162
253,lonevag,60.5262,5.4937,34.36,93,17,3.38,NO,1680573319
254,mindelo,16.8901,-24.9804,72.95,78,20,23.02,CV,1680573320
255,lao cai,22.4833,103.95,85.01,52,33,2.26,VN,1680573320
256,mabaruma,8.2,-59.7833,71.46,91,62,3.22,GY,1680573320
257,muzhi,65.3667,64.6667,0.14,92,5,5.64,RU,1680573320
258,fortuna,40.5982,-124.1573,46.98,75,38,7.0,US,1680572807
259,grindavik,63.8424,-22.4338,48.15,100,100,27.63,IS,1680573178
260,prince george,53.9166,-122.753,38.28,51,0,5.75,CA,1680573117
261,gorontalo,0.5412,123.0595,87.3,62,91,2.82,ID,1680573321
262,bara,10.3744,10.7288,78.73,11,100,6.4,NG,1680573321
263,porto velho,-8.7619,-63.9039,75.25,94,40,2.3,BR,1680573303
264,sai buri,6.7013,101.6168,88.97,65,19,2.42,TH,1680573322
265,frontignan,43.4485,3.754,46.54,66,0,9.08,FR,1680573322
266,rawson,-43.3002,-65.1023,59.72,64,1,12.35,AR,1680573185
267,bayir,37.2687,28.2167,55.92,45,86,25.26,TR,1680573323
268,fushan,37.4958,121.2581,50.59,93,100,19.44,CN,1680573323
269,yeppoon,-23.1333,150.7333,78.58,67,37,8.08,AU,1680573323
270,lander,42.833,-108.7307,26.11,93,100,0.0,US,1680573064
271,nuuk,64.1835,-51.7216,30.81,64,80,14.97,GL,1680573324
272,asau,46.4333,26.4,33.28,97,100,6.93,RO,1680573156
273,drammen,59.7439,10.2045,31.68,91,76,3.87,NO,1680573324
274,thompson,55.7435,-97.8558,14.16,37,40,3.44,CA,1680573133
275,dunedin,-45.8742,170.5036,69.08,52,47,5.01,NZ,1680573211
276,dikson,73.5069,80.5464,-6.86,97,100,11.79,RU,1680573157
277,muravlenko,63.7898,74.523,-5.49,90,5,5.77,RU,1680573325
278,usevya,-7.1,31.2333,64.36,97,100,1.5,TZ,1680573325
279,tolstoy-yurt,43.4444,45.7722,41.32,87,40,2.24,RU,1680573325
280,qaqortoq,60.7167,-46.0333,29.46,79,95,4.29,GL,1680573207
281,sola,-13.8833,167.55,83.1,73,100,16.11,VU,1680573326
282,iqaluit,63.7506,-68.5145,1.13,71,75,19.57,CA,1680573211
283,souillac,-20.5167,57.5167,75.58,94,75,6.91,MU,1680573126
284,oranjemund,-28.55,16.4333,58.21,87,0,8.59,NA,1680573203
285,methoni,36.8197,21.7049,54.21,79,97,10.07,GR,1680573327
